stock_code,corp_code,corp_name,배당락일,지불일,배당,다음배당락일,다음지불일
5930,126380,삼성전자,20180331,20180516,17700,20180630,20180820
5930,126380,삼성전자,20180630,20180820,354,20180930,20181120
5930,126380,삼성전자,20180930,20181120,354,20181231,20190419
5930,126380,삼성전자,20181231,20190419,354,20190331,20190520
5930,126380,삼성전자,20190331,20190520,354,20190630,20190820
5930,126380,삼성전자,20190630,20190820,354,20190930,20191120
5930,126380,삼성전자,20190930,20191120,354,20191231,20200417
5930,126380,삼성전자,20191231,20200417,354,20200331,20200519
5930,126380,삼성전자,20200331,20200519,354,20200630,20200819
5930,126380,삼성전자,20200630,20200819,354,20200930,20201118
5930,126380,삼성전자,20200930,20201118,354,20201231,20210416
5930,126380,삼성전자,20201231,20210416,1932,20210331,20210518
5930,126380,삼성전자,20210331,20210518,361,20210630,20210818
5930,126380,삼성전자,20210630,20210818,361,20210930,20211117
5930,126380,삼성전자,20210930,20211117,361,20211231,20220415
5930,126380,삼성전자,20211231,20220415,361,20220331,20220517
5930,126380,삼성전자,20220331,20220517,361,20220630,20220816
5930,126380,삼성전자,20220630,20220816,361,20220930,20221115
5930,126380,삼성전자,20220930,20221115,361,20221231,20230414
5930,126380,삼성전자,20221231,20230414,361,20230331,20230517
5930,126380,삼성전자,20230331,20230517,361,20180331,20180516
5930,126380,삼성전자,20180331,20180516,17700,20180630,20180820
5930,126380,삼성전자,20180630,20180820,354,20180930,20181120
5930,126380,삼성전자,20180930,20181120,354,20181231,20190419
5930,126380,삼성전자,20181231,20190419,354,20190331,20190520
5930,126380,삼성전자,20190331,20190520,354,20190630,20190820
5930,126380,삼성전자,20190630,20190820,354,20190930,20191120
5930,126380,삼성전자,20190930,20191120,354,20191231,20200417
5930,126380,삼성전자,20191231,20200417,354,20200331,20200519
5930,126380,삼성전자,20200331,20200519,354,20200630,20200819
5930,126380,삼성전자,20200630,20200819,354,20200930,20201118
5930,126380,삼성전자,20200930,20201118,354,20201231,20210416
5930,126380,삼성전자,20201231,20210416,1932,20210331,20210518
5930,126380,삼성전자,20210331,20210518,361,20210630,20210818
5930,126380,삼성전자,20210630,20210818,361,20210930,20211117
5930,126380,삼성전자,20210930,20211117,361,20211231,20220415
5930,126380,삼성전자,20211231,20220415,361,20220331,20220517
5930,126380,삼성전자,20220331,20220517,361,20220630,20220816
5930,126380,삼성전자,20220630,20220816,361,20220930,20221115
5930,126380,삼성전자,20220930,20221115,361,20221231,20230414
5930,126380,삼성전자,20221231,20230414,361,20230331,20230517
5930,126380,삼성전자,20230331,20230517,361,20230629,20230815
81660,195229,휠라홀딩스,20181231,20190412,50,20191231,20200416
81660,195229,휠라홀딩스,20191231,20200416,219,20201231,20210422
81660,195229,휠라홀딩스,20201231,20210422,185,20211231,20220418
81660,195229,휠라홀딩스,20211231,20220418,1000,20220930,20221123
81660,195229,휠라홀딩스,20220930,20221123,830,20221231,20230414
81660,195229,휠라홀딩스,20221231,20230414,750,20230402,20230715
13890,150633,지누스,20191231,20200410,1250,20201231,20210408
13890,150633,지누스,20201231,20210408,800,20211231,20220415
13890,150633,지누스,20211231,20220415,850,20221231,20230421
13890,150633,지누스,20221231,20230421,530,20231231,20240420
284740,1267684,쿠쿠홈시스,20181231,20190422,2800,20191231,20200424
284740,1267684,쿠쿠홈시스,20191231,20200424,560,20201231,20210423
284740,1267684,쿠쿠홈시스,20201231,20210423,600,20211231,20220422
284740,1267684,쿠쿠홈시스,20211231,20220422,650,20221231,20230421
284740,1267684,쿠쿠홈시스,20221231,20230421,700,20231231,20240420
5850,125521,에스엘,20181231,20190425,400,20191231,20200429
5850,125521,에스엘,20191231,20200429,400,20201231,20210419
5850,125521,에스엘,20201231,20210419,500,20211231,20220415
5850,125521,에스엘,20211231,20220415,500,20221231,20230414
5850,125521,에스엘,20221231,20230414,600,20231231,20240413
4020,145880,현대제철,20181231,20190422,750,20191231,20200427
4020,145880,현대제철,20191231,20200427,750,20201231,20210423
4020,145880,현대제철,20201231,20210423,500,20211231,20220422
4020,145880,현대제철,20211231,20220422,1000,20221231,20230421
4020,145880,현대제철,20221231,20230421,1000,20231231,20240420
51600,159218,한전KPS,20181231,20190426,1790,20191231,20200424
51600,159218,한전KPS,20191231,20200424,1920,20201231,20210428
51600,159218,한전KPS,20201231,20210428,1146,20211231,20220428
51600,159218,한전KPS,20211231,20220428,1199,20221231,20230427
51600,159218,한전KPS,20221231,20230427,1305,20231231,20240426
32640,231363,LG유플러스,20181231,20190411,400,20191231,20200417
32640,231363,LG유플러스,20191231,20200417,400,20201231,20210416
32640,231363,LG유플러스,20201231,20210416,450,20210630,20210903
32640,231363,LG유플러스,20210630,20210903,200,20211231,20220415
32640,231363,LG유플러스,20211231,20220415,350,20220630,20220826
32640,231363,LG유플러스,20220630,20220826,250,20221231,20230414
32640,231363,LG유플러스,20221231,20230414,400,20181231,20190411
32640,231363,LG유플러스,20181231,20190411,400,20191231,20200417
32640,231363,LG유플러스,20191231,20200417,400,20201231,20210416
32640,231363,LG유플러스,20201231,20210416,450,20210630,20210903
32640,231363,LG유플러스,20210630,20210903,200,20211231,20220415
32640,231363,LG유플러스,20211231,20220415,350,20220630,20220826
32640,231363,LG유플러스,20220630,20220826,250,20221231,20230414
32640,231363,LG유플러스,20221231,20230414,400,20230703,20231015
4000,157681,롯데정밀화학,20181231,20190424,1700,20191231,20200423
4000,157681,롯데정밀화학,20191231,20200423,1700,20201231,20210416
4000,157681,롯데정밀화학,20201231,20210416,1500,20211231,20220415
4000,157681,롯데정밀화학,20211231,20220415,2300,20221231,20230421
4000,157681,롯데정밀화학,20221231,20230421,3500,20231231,20240420
185750,992871,종근당,20181231,20190405,900,20191231,20200403
185750,992871,종근당,20191231,20200403,900,20201231,20210409
185750,992871,종근당,20201231,20210409,1000,20211231,20220408
185750,992871,종근당,20211231,20220408,1000,20221231,20230407
185750,992871,종근당,20221231,20230407,1000,20231231,20240406
810,139214,삼성화재해상보험,20181231,20190419,11500,20191231,20200417
810,139214,삼성화재해상보험,20191231,20200417,8500,20201231,20210416
810,139214,삼성화재해상보험,20201231,20210416,8800,20211231,20220414
810,139214,삼성화재해상보험,20211231,20220414,12000,20221231,20230414
810,139214,삼성화재해상보험,20221231,20230414,13800,20231231,20240413
3410,138224,쌍용씨앤이,20180331,20180515,450,20180630,20180731
3410,138224,쌍용씨앤이,20180630,20180731,450,20180930,20181120
3410,138224,쌍용씨앤이,20180930,20181120,90,20181231,20190426
3410,138224,쌍용씨앤이,20181231,20190426,100,20190331,20190503
3410,138224,쌍용씨앤이,20190331,20190503,100,20190630,20190814
3410,138224,쌍용씨앤이,20190630,20190814,100,20190930,20191113
3410,138224,쌍용씨앤이,20190930,20191113,110,20191231,20200424
3410,138224,쌍용씨앤이,20191231,20200424,110,20200331,20200507
3410,138224,쌍용씨앤이,20200331,20200507,110,20200630,20200828
3410,138224,쌍용씨앤이,20200630,20200828,110,20200930,20201028
3410,138224,쌍용씨앤이,20200930,20201028,110,20201231,20210423
3410,138224,쌍용씨앤이,20201231,20210423,110,20210331,20210507
3410,138224,쌍용씨앤이,20210331,20210507,110,20210630,20210831
3410,138224,쌍용씨앤이,20210630,20210831,110,20210930,20211130
3410,138224,쌍용씨앤이,20210930,20211130,110,20211231,20220429
3410,138224,쌍용씨앤이,20211231,20220429,110,20220331,20220510
3410,138224,쌍용씨앤이,20220331,20220510,110,20220630,20220830
3410,138224,쌍용씨앤이,20220630,20220830,110,20220930,20221125
3410,138224,쌍용씨앤이,20220930,20221125,110,20221231,20230428
3410,138224,쌍용씨앤이,20221231,20230428,110,20230331,20230509
3410,138224,쌍용씨앤이,20230331,20230509,70,20230630,20230000
3410,138224,쌍용씨앤이,20230630,20230000,0,20230929,20300402
138040,860332,메리츠금융지주,20181231,20190329,470,20191231,20200327
138040,860332,메리츠금융지주,20191231,20200327,550,20201231,20210409
138040,860332,메리츠금융지주,20201231,20210409,900,20211231,20220407
138040,860332,메리츠금융지주,20211231,20220407,210,20221231,20230331
138040,860332,메리츠금융지주,20221231,20230331,105,20231231,20240330
